id	name_eng	titolo_eng	name_ita	desc_ita
234	Phase reversal	Simultaneous trace deflections in opposite directions from two or more channels in a bipolar recording montage. Assuming a single generator, phase reversal is due to the same signal being applied to the input terminal 2 of one differential amplifier and to the input terminal 1 of the other amplifier. Comment: When observed in two linked bipolar channels, phase reversal indicates that the potential field is maximal or minimal at or near the electrode common to such derivations. A phase reversal seen in a referential recording, when assessed using mapping of the potential fields, indicates that the dipole source is horizontally located in the sulcal wall across the borderline of the two fields of opposite polarity. (See bipolar and referential montages, dipole, input terminal).	Inversione di fase	Simultanea deflessione in direzione opposta di una traccia registrata da due o più canali in montaggio bipolare. Se si assume un unico generatore, l'inversione di fase è dovuta allo stesso segnale elettrico che simultaneamente è in ingresso al terminale 2 di un amplificatore differenziale e al terminale 1 di un altro amplificatore. Commento: quando si registra su due canali bipolari collegati, l'inversione di fase indica che il potenziale elettrico è massimo o minimo in corrispondenza o in prossimità dell'elettrodo comune a tali derivazioni. Un'inversione di fase in una registrazione referenziale, quando si valuta il mappaggio dei potenziali di campo, indica che la sorgente del dipolo ha una disposizione orizzontale nella parete del solco all'interfaccia fra i due campi di polarità opposta. (Vedi montaggi bipolari e referenziali, dipolo, terminale di ingresso).
235	Photic driving	Physiologic response consisting of periodic activity elicited over the posterior regions of the head, usually induced by repetitive photic stimulation at frequencies of about 1–30 Hz. Comments: (1) term should be limited to activity time-locked to the stimulus and of frequency identical or harmonically related to the stimulus frequency. (2) Photic driving should be distinguished from the visual evoked potentials elicited by isolated flashes of light or flashes repeated at low frequencies (<5 Hz). (See photic stimulation).	Trascinamento fotico	Risposta fisiologica che consiste in un'attività periodica che si registra sulle regioni posteriori dello scalpo, tipicamente indotta dalla stimolazione luminosa intermittente (SLI) alle frequenze di circa 1-30 Hz. Commenti: (1) il termine dovrebbe essere limitato all'attività tempo-correlata allo stimolo fotico e con una frequenza identica oppure un'armonica della frequenza dello stimolo stesso. (2) Il trascinamento fotico dovrebbe essere distinto dai potenziali evocati visivi elicitati da flash isolati oppure da flash ripetuti in treni a basse frequenze (<5 Hz). (Vedi stimolazione fotica).
236	Photic evoked potential (PEP)	Evoked potential generated in the occipital cortex in response to flash stimulation. Synonym: Flash EP.	Potenziale evocato visivo da flash (PEV-F)	Potenziale evocato generato nella corteccia occipitale in risposta alla stimolazione con flash. Sinonimo: potenziale evocato da stimolo fotico.
237	Photic stimulation	Delivery of intermittent flashes of light to the eyes of a subject, usually from 1 to 60 Hz. Used as EEG activation procedure. Synonym: intermittent photic stimulation (IPS).	Stimolazione luminosa intermittente (SLI)	Metodica di attivazione dell'EEG caratterizzata dall'esposizione del paziente a treni di flash alle frequenze fra 1 e 60 Hz. Sinonimo: stimolazione fotica intermittente (IPS, intermittent photic stimulation).
238	Photic stimulator	Device for delivering intermittent flashes of light.	Stimolatore luminoso	Dispositivo per la generazione di flash di luce intermittente.
239	Photomyogenic response	A non-cerebral response to intermittent photic stimulation characterized by the appearance in the record of brief repetitive muscle spikes (electromyography artifact) over the anterior regions of the head. These often increase gradually in amplitude as stimuli are continued and cease promptly when the stimulus is withdrawn. Comments: (1) this response is frequently associated with flutter of the eyelids and vertical oscillations of the eyeballs and sometimes with discrete jerking mostly involving the musculature of the face and head, (2) it is a physiological artifact contaminating the EEG.	Risposta fotomiogenica	Un tipo di risposta alla stimolazione luminosa intermittente, di origine non cerebrale, caratterizzata dalla comparsa di attività EMGrafica artefattuale sulle derivazioni anteriori dello scalpo. Questi potenziali muscolari aumentano gradualmente in ampiezza quando gli stimoli luminosi si protraggono e cessano bruscamente al termine della stimolazione. Commenti: (1) questa risposta è frequentemente associata ad una contrazione ripetitiva delle palpebre, ad una deviazione verticale dei globi oculari e talora ad una contrazione evidente della muscolatura del volto e del capo; (2) è ritenuta un artefatto di significato fisiologico che contamina l'EEG.
240	Photoparoxysmal response (PPR)	Abnormal response to intermittent photic stimulation characterized by spike-and-slow-wave or polyspike-and-slow-wave complexes. Responses are subclassified in to 4 phenotypically different types, from focal occipital spikes (type 1 PPR) time-locked to the flashes to generalized (type 4 PPR) epileptiform discharges, which may outlast the stimulus by a few seconds. Comment: only the more generalized spike-and-wave responses (type 3 and 4 PPRs) show a strong association with epilepsy.	Risposta fotoparossistica (PPR, photoparoxysmal response)	Risposta anomala alla stimolazione luminosa intermittente caratterizzata da complessi di punta-onda lenta e polipunta-onda-lenta. La classificazione ne prevede 4 tipi: dalle punte focali occipitali che sono tempo correlate al flash (tipo 1) alle scariche epilettiformi generalizzate (tipo 4), che possono peraltro persistere dopo la fine della stimolazione per alcuni secondi. Commento: solo le risposte caratterizzate da complessi punta-onda-lenta più generalizzati (tipo 3 e 4) mostrano una significativa associazione con alcune forme di epilessia.
241	Polarity convention	International agreement whereby differential EEG amplifiers are constructed so that negativity at input terminal 1 relative to input terminal 2 of the same amplifier results in an upward trace deflection. For example, for a bipolar derivation C3-Cz (input 1 terminal -input terminal 2), an ‘upward deflection’ implies that C3 is more negative than Cz, while a ‘downward deflection’ implies that Cz is more negative than C3. Comment: this convention is contrary to that prevailing in some other biological and non-biological fields. (See input terminal 1 and 2).	Convenzione di polarità	Accordo internazionale in base al quale gli amplificatori EEG differenziali sono costruiti in modo che la negatività all'ingresso 1 rispetto all’ingresso 2 dello stesso amplificatore provochi una deflessione della traccia verso l'alto. Per esempio, per una derivazione bipolare C3-Cz (ingresso 1 - ingresso 2), una “deflessione verso l'alto” implica che C3 è più negativo di Cz, mentre una “deflessione verso il basso” implica che Cz è più negativo di C3. Commento: questa convenzione è contraria a quella prevalente in alcuni altri campi biologici e non biologici. (Vedi terminale d'ingresso 1 e 2).
242	Polarity, EEG wave	Sign of potential difference, either positive or negative, existing at a given time between one electrode and another electrode (see polarity convention); which may be an exploring and reference electrode in a referential derivation, or two exploring electrodes in a bipolar derivation.v	Polarità, onda EEG	Segno della differenza di potenziale, positivo o negativo, esistente in un dato momento tra un elettrodo ed un altro elettrodo (vedi convenzione di polarità); può essere un elettrodo attivo ed uno di riferimento nel caso di un montaggio referenziale, o due elettrodi attivi nel caso di un montaggio bipolare.
243	Polygraphic recording	Simultaneous monitoring of multiple physiological parameters such as the EEG, respiration, electrocardiogram, electromyogram, eye movements (electrooculogram), oxygen saturation, and leg movements, etc. Comment: some may be part of routine EEG recording but are recommended in polysomnography. (See polysomnography).	Registrazione poligrafica	Monitoraggio simultaneo di più parametri fisiologici come l'EEG, la respirazione, l'elettrocardiogramma, l'elettromiografia, l'elettro-oculogramma, la saturazione di ossigeno, i movimenti delle gambe, ecc. Commento: alcuni possono far parte della registrazione EEG di routine ma sono raccomandati nella polisonnografia. (Vedi polisonnografia).
